S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Robotics,Robotics by Prof. D K Pratihar,20hrs 12min,12th,English/Hindi,Module 1: Introduction to Robots and Robotics,Robotics by Prof  D K Pratihar,https://www.youtube.com/watch?v=rYWJdZ5qg6M
2,Robotics,Robotics by Prof. D K Pratihar,,12th,English/Hindi,Module 1: Introduction to Robots and Robotics,Lecture 01: Introduction to Robots and Robotics,https://www.youtube.com/watch?v=xrwz9IxpMJg
3,Robotics,Robotics by Prof. D K Pratihar,,12th,English/Hindi,Module 1: Introduction to Robots and Robotics,Lecture 02: Introduction to Robots and Robotics (Contd.),https://www.youtube.com/watch?v=j8vYClEnyk0
4,Robotics,Robotics by Prof. D K Pratihar,,12th,English/Hindi,Module 1: Introduction to Robots and Robotics,Lecture 03: Introduction to Robots and Robotics (Contd.),https://www.youtube.com/watch?v=o0NLi-wJS1I
5,Robotics,Robotics by Prof. D K Pratihar,,12th,English/Hindi,Module 2: Introduction to Robots and Robotics (Contd.),Lecture 04: Introduction to Robots and Robotics (Contd.),https://www.youtube.com/watch?v=MH26PuRNMXM
6,Robotics,Robotics by Prof. D K Pratihar,,12th,English/Hindi,Module 2: Introduction to Robots and Robotics (Contd.),Lecture 05:  Introduction to Robots and Robotics (Contd.),https://www.youtube.com/watch?v=Ra-R0ZCdkPc
7,Robotics,Robotics by Prof. D K Pratihar,,12th,English/Hindi,Module 2: Introduction to Robots and Robotics (Contd.),Lecture 06: Introduction to Robots and Robotics (Contd.),https://www.youtube.com/watch?v=8lCTkf-qjA0
8,Robotics,Robotics by Prof. D K Pratihar,,12th,English/Hindi,Module 3: Introduction to Robots and Robotics (Contd.),Lecture 07: Introduction to Robots and Robotics (Contd.),https://www.youtube.com/watch?v=KMqWSypAuEg
9,Robotics,Robotics by Prof. D K Pratihar,,12th,English/Hindi,Module 3: Introduction to Robots and Robotics (Contd.),Lecture 08: Introduction to Robots and Robotics (Contd.),https://www.youtube.com/watch?v=nLRoK6Hyj0w
10,Robotics,Robotics by Prof. D K Pratihar,,12th,English/Hindi,Module 3: Introduction to Robots and Robotics (Contd.),Lecture 09: Introduction to Robots and Robotics (Contd.),https://www.youtube.com/watch?v=uMxmBVX1pAQ
11,Robotics,Robotics by Prof. D K Pratihar,,12th,English/Hindi,Module 4: Introduction to Robots and Robotics (Contd.),Lecture 10: Introduction to Robots and Robotics (Contd.),https://www.youtube.com/watch?v=xKzAqwpT06A
12,Robotics,Robotics by Prof. D K Pratihar,,12th,English/Hindi,Module 4: Introduction to Robots and Robotics (Contd.),Lecture 11: Robots Kinematics,https://www.youtube.com/watch?v=wcy0Y3Jgf14
13,Robotics,Robotics by Prof. D K Pratihar,,12th,English/Hindi,Module 4: Introduction to Robots and Robotics (Contd.),Lecture 12: Robots Kinematics,https://www.youtube.com/watch?v=9Xyy24mbLQ0
14,Robotics,Robotics by Prof. D K Pratihar,,12th,English/Hindi,Module 5: Introduction to Robots and Robotics (Contd.),Lecture 13: Robot Kinematics (Contd.),https://www.youtube.com/watch?v=kw64yS6vH14
