"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
379,"Robotics","Robotics","25hrs 13min","12th","English/Hindi","Module 1: Spatial Descriptions and Transformations","Spatial Descriptions and Transformation Matrices for Robotic Manipulators","https://www.youtube.com/watch?v=4Y1_y9DI_Hw"
380,"Robotics","Robotics","","12th","English/Hindi","Module 1: Spatial Descriptions and Transformation Matrices for Robotic Manipulators","Spacial Descriptions and Transformations - Worked Example","https://www.youtube.com/watch?v=r244ADkuexk"
381,"Robotics","Robotics","","12th","English/Hindi","Module 1: Spacial Descriptions and Transformations - Worked Example","Compound Transformation Matrices and Inverse Transformation Matrices - Robotic Basics","https://www.youtube.com/watch?v=sm7d1A2npWA"
382,"Robotics","Robotics","","12th","English/Hindi","Module 1: Compound Transformation Matrices and Inverse Transformation Matrices - Robotic Basics","Fixed and Euler Angle Representation for Rotation Matrices","https://www.youtube.com/watch?v=uG0P9RX65Ek"
383,"Robotics","Robotics","","12th","English/Hindi","Module 2: Euler Angles and Rotation","Angles of Rotation for Euler Angle Representation (Worked Example)-Robotics Basics","https://www.youtube.com/watch?v=8FD1jgb3Df4"
384,"Robotics","Robotics","","12th","English/Hindi","Module 2: Fixed and Euler Angle Representation for Rotation Matrices","Frame Assignment For Robotic Manipulators - Direct Kinematics I","https://www.youtube.com/watch?v=fNIyNF87q9I"
385,"Robotics","Robotics","","12th","English/Hindi","Module 2: Angles of Rotation for Euler Angle Representation (Worked Example)-Robotics Basics","Denavit - Hartenberg (DH) Tables For Robotic Systems - Direct Kinematics II","https://www.youtube.com/watch?v=DPO9Se6ZqN0"
386,"Robotics","Robotics","","12th","English/Hindi","Module 3: Direct Kinematics","Creating Transformation Matrices From DH Tables | Robotics (Direct Kinematics III)","https://www.youtube.com/watch?v=yjLVBbK_rOU"
387,"Robotics","Robotics","","12th","English/Hindi","Module 3: Frame Assignment For Robotic Manipulators - Direct Kinematics I","Worked Example - Frame Assignment | DH Tables | Transformation Matrices (Direct Kinematics IV)","https://www.youtube.com/watch?v=KdKAJ6kLY6U"
388,"Robotics","Robotics","","12th","English/Hindi","Module 3: Denavit - Hartenberg (DH) Tables For Robotic Systems - Direct Kinematics II","Jacobian Matrix and Singularities | Robotics | Introduction | Part 1","https://www.youtube.com/watch?v=h2YM0CDzDl4"
389,"Robotics","Robotics","","12th","English/Hindi","Module 3: Creating Transformation Matrices From DH Tables | Robotics (Direct Kinematics III)","Jacobian Matrix - Partial Differentiation Method | Robotics | Part 2","https://www.youtube.com/watch?v=YS3kt_eqOPY"
390,"Robotics","Robotics","","12th","English/Hindi","Module 4:  Jacobian Matrix and Singularities","Jacobian Matrix - Velocity Propagation Method | Robotics | Part 3","https://www.youtube.com/watch?v=YhEq_hUo3Ek"
391,"Robotics","Robotics","","12th","English/Hindi","Module 4: Jacobian Matrix and Singularities | Robotics | Introduction | Part 1","Jacobian Matrix - Torques and Forces on Joints | Robotics | Part 4","https://www.youtube.com/watch?v=DsWaju7vbk4"
392,"Robotics","Robotics","","12th","English/Hindi","Module 4: Jacobian Matrix - Partial Differentiation Method | Robotics | Part 2","Lagrangian Mechanics (Torques and Forces) | Robotics | Part 5","https://www.youtube.com/watch?v=zO5o-tAwOPc"
393,"Robotics","Robotics","","12th","English/Hindi","Module 4: Jacobian Matrix - Velocity Propagation Method | Robotics | Part 3","Trajectory Planning and Generation | Cubic Polynomials | Parabolic Blends | Robotics","https://www.youtube.com/watch?v=TXHM9xsRUkA"
