Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
674,Robotics,robotics ethics,147hrs 7min,12th,English/Hindi,Module 1: Introduction to Robot Ethics,re:publica 2013 - Kate Darling: Robot Ethics,https://www.youtube.com/watch?v=gozSLhUwi48
675,Robotics,robotics ethics,,12th,English/Hindi,Module 1: Ethical Frameworks and Robotics,David Gunkel Part 1: The Machine Question and Robot Ethics,https://www.youtube.com/watch?v=Yr_Duwm0uzc
676,Robotics,robotics ethics,,12th,English/Hindi,Module 1: re:publica 2013 - Kate Darling: Robot Ethics,On the Ethics of Research in Robotics - video lecture by Dr. Raja Chatila,https://www.youtube.com/watch?v=j1YqgKSF1tU
677,Robotics,robotics ethics,,12th,English/Hindi,Module 1: David Gunkel Part 1: The Machine Question and Robot Ethics,The future of robot ethics,https://www.youtube.com/watch?v=IWKjtejgNoI
678,Robotics,robotics ethics,,12th,English/Hindi,Module 2: Research Ethics in Robotics,Robot Ethics,https://www.youtube.com/watch?v=rTgZX-y38Co
679,Robotics,robotics ethics,,12th,English/Hindi,Module 2: On the Ethics of Research in Robotics - video lecture by Dr. Raja Chatila,Moral Math of Robots: Can Life and Death Decisions Be Coded?,https://www.youtube.com/watch?v=nDQztSTMnd8
680,Robotics,robotics ethics,,12th,English/Hindi,Module 2: The future of robot ethics,Michio Kaku: How to Stop Robots From Killing Us | Big Think,https://www.youtube.com/watch?v=JPVOPzYiCeg
681,Robotics,robotics ethics,,12th,English/Hindi,Module 3: Robot Rights and Responsibilities,Illah Nourbakhsh Lecture: Ethics in Robotics,https://www.youtube.com/watch?v=giKT8PkCCv4
682,Robotics,robotics ethics,,12th,English/Hindi,Module 3: Robot Ethics,Looney The Robot Intro (NAO Humanoid),https://www.youtube.com/watch?v=kwhajZyb_EQ
683,Robotics,robotics ethics,,12th,English/Hindi,Module 3: Moral Math of Robots: Can Life and Death Decisions Be Coded?,"L'ETICA ROBOTICA, BASE DELLA DEMOCRAZIA 3.0",https://www.youtube.com/watch?v=03G5_-e9y_s
684,Robotics,robotics ethics,,12th,English/Hindi,Module 4: AI Ethics and Robotics,Breakthrough: Robotic limbs moved by the mind,https://www.youtube.com/watch?v=Z3a5u6djGnE
685,Robotics,robotics ethics,,12th,English/Hindi,Module 4: Michio Kaku: How to Stop Robots From Killing Us | Big Think,Monkey uses brain to control prothetic arm,https://www.youtube.com/watch?v=sm2d0w87wQE
686,Robotics,robotics ethics,,12th,English/Hindi,Module 4: Illah Nourbakhsh Lecture: Ethics in Robotics,The Robot-Arm Prosthetic Controlled by Thought,https://www.youtube.com/watch?v=sk1NkWl_W2Y
687,Robotics,robotics ethics,,12th,English/Hindi,Module 5: Case Studies in Robot Ethics,Artificially Conscious Roundworm Robot,https://www.youtube.com/watch?v=9T_25APWwic
688,Robotics,robotics ethics,,12th,English/Hindi,Module 5: Looney The Robot Intro (NAO Humanoid),"Dialetto napoletano, le origini greche della parole ""pucch...""",https://www.youtube.com/watch?v=90kIPuhHmxg
