S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,53hrs 12min,12th,English/Hindi,Module 1: Introduction to Sociology of Religion,Rapid Revision | MSOE 003 | IGNOU MA Sociology | Important Topics,https://www.youtube.com/watch?v=yodgywJVABA
2,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 1: Introduction to Sociology of Religion,MSOE 003 | Important Questions | June 2024 | IGNOU MA Sociology,https://www.youtube.com/watch?v=S8Ytf_vy85Q
3,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 1: Introduction to Sociology of Religion,Society and Religion | Sociology of Religion | IGNOU MSOE 03,https://www.youtube.com/watch?v=129LXOk_rJ0
4,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 1: Introduction to Sociology of Religion,Economy and Religion | Sociology of Religion | IGNOU MSOE 03,https://www.youtube.com/watch?v=6FJEML55cy0
5,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 2: Classical Theories of Religion,Origin Theories of Religion  | Sociology of Religion | IGNOU MSOE 003,https://www.youtube.com/watch?v=vjviyqTTeIs
6,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 2: Classical Theories of Religion,Clifford Geertz | Religion as a Cultural System | Sociology of Religion | IGNOU MSOE 003,https://www.youtube.com/watch?v=miumi07X10A
7,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 2: Classical Theories of Religion,Sigmund Freud | Religion: Psychological Approach | Freud's Reformulation | IGNOU MSOE 003,https://www.youtube.com/watch?v=AyZZWT3vJHg
8,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 2: Classical Theories of Religion,Karl Marx and Religion | Opium of the People | Instrument of Oppression | IGNOU MSOE 003,https://www.youtube.com/watch?v=Y2kx7GLBUXY
9,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 3: Modern Perspectives on Religion,Emile Durkheim | Theory of Religion | Sacred and Profane | IGNOU MSOE 003,https://www.youtube.com/watch?v=spfpcA9DFiM
10,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 3: Modern Perspectives on Religion,Max Weber | Protestant Ethic and the Spirit of Capitalism | Hinduism & Capitalism | IGNOU MSOE 003,https://www.youtube.com/watch?v=7ZAx7WsNogs
11,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 3: Modern Perspectives on Religion,M. N. Srinivas | The Coorgs | Major Concepts of M. N. Srinivas| IGNOU MSOE 003,https://www.youtube.com/watch?v=RJyiBbXzayg
12,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 3: Modern Perspectives on Religion,Evans Pritchard | The Nuer | Sociology of Religion | IGNOU MSOE 003,https://www.youtube.com/watch?v=QDi5WdFz6XE
13,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 4: Religion and Society in India,T. N. Madan | Non-Renunciation | Kashmiri Pandit's Life Cycle | IGNOU MSOE 003,https://www.youtube.com/watch?v=QaD3PPrpVR8
14,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 4: Religion and Society in India,Peter Berger | Phenomenology of Religion | Future of Religion | IGNOU MSOE 003,https://www.youtube.com/watch?v=_VXlmf2Y5OQ
15,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 4: Religion and Society in India,Levi Strauss | Totemism | Reality of Totemism | IGNOU MSOE 003,https://www.youtube.com/watch?v=JfxA_LCpwTw
16,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 4: Religion and Society in India,Sikhism | Sikh Gurus | Five K's of Sikhism | Sociology of Religion | IGNOU MSOE 003,https://www.youtube.com/watch?v=S53_MROcYjQ
17,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 5: Contemporary Religious Issues,Jainism | Wheel of Time | Process of Liberation | Sociology of Religion | IGNOU MSOE 003,https://www.youtube.com/watch?v=H68jiH0-2vU
18,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 5: Contemporary Religious Issues,Buddhism | Four Noble Truths | Noble Eightfold Path | Development of Buddhism | IGNOU MSOE 003,https://www.youtube.com/watch?v=9w_3dHf5BoY
19,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 5: Contemporary Religious Issues,Secularism | Secularization | European & Indian experience of Secularism | IGNOU MSOE 003,https://www.youtube.com/watch?v=4G4wnJenTIE
20,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 5: Contemporary Religious Issues,"Fundamentalism | Equality of Religion, Politics, Education & Fundamentalism | IGNOU MSOE 003",https://www.youtube.com/watch?v=rwGD4jnF4jM
21,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 5: Contemporary Religious Issues,Communalism | Reasons & Stages of Communalism in India | Two Nation Theory | IGNOU MSOE 003,https://www.youtube.com/watch?v=QrCxfzviLfk
22,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 5: Contemporary Religious Issues,Religious Conversion | Aspects of Religious Conversion | IGNOU MSOE 003,https://www.youtube.com/watch?v=QF8Kfy9TVLM
23,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 5: Contemporary Religious Issues,Sociological Perspective on Religion | IGNOU MSOE 003 | Sociology of Religion,https://www.youtube.com/watch?v=5sF7l1hmrb4
24,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 5: Contemporary Religious Issues,Magic and Religion | James Frazer | Difference between Magic and Religion | MSOE 003,https://www.youtube.com/watch?v=IxMgZRVGSA8
25,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 5: Contemporary Religious Issues,Religious Revivalism | New Religious Movements and Cults | IGNOU MSOE 003,https://www.youtube.com/watch?v=8yUNaLuWI8s
26,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,12th,English/Hindi,Module 5: Contemporary Religious Issues,Purusharth | The Four Ends of Hinduism | Four Ashramas | IGNOU MSOE 003,https://www.youtube.com/watch?v=_88iKiJWNlw
