S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Sociology,Sociology: Families and Households (AQA A-Level Sociology),5hrs 28min,12th,English/Hindi,Module 1: Introduction to Family & Households,Delphy and Leonard on Gender Roles | A Level Sociology - Families,https://www.youtube.com/watch?v=nXW7-APXR3w
2,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 1: Introduction to Family & Households,Theoretical Perspectives on Family Policy | A Level Sociology - Families,https://www.youtube.com/watch?v=ms7ijJhY2A4
3,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 1: Introduction to Family & Households,Feminism and Family | A Level Sociology - Families,https://www.youtube.com/watch?v=LHPAZT5NszU
4,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 1: Introduction to Family & Households,Zaretsky on the Family | A Level Sociology - Families,https://www.youtube.com/watch?v=Pum0RGItsWo
5,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 2: Perspectives on Family,Parsons on the Family | A Level Sociology - Families,https://www.youtube.com/watch?v=RKA8ou7-WPU
6,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 2: Perspectives on Family,Willmott and Young - The Symmetrical Family | A Level Sociology - Families,https://www.youtube.com/watch?v=jqwTfi_qvLQ
7,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 2: Perspectives on Family,Late and Postmodern Views of Family | A Level Sociology - Families,https://www.youtube.com/watch?v=8MxTszuDXLc
8,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 2: Perspectives on Family,New Right on the Family | A Level Sociology - Families,https://www.youtube.com/watch?v=wHi0BkicxCI
9,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 3: Changing Family Patterns,Personal Life Perspective | A Level Sociology - Families,https://www.youtube.com/watch?v=AvI74mINr30
10,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 3: Changing Family Patterns,Marxism and the Family | A Level Sociology - Families,https://www.youtube.com/watch?v=lFRZavhL3Kk
11,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 3: Changing Family Patterns,Rappoports on Family Diversity | A Level Sociology - Families,https://www.youtube.com/watch?v=WFr4ccDUfzU
12,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 3: Changing Family Patterns,Changing Patterns of Family Life: Child-bearing | A Level Sociology - Families,https://www.youtube.com/watch?v=MB4Yhmv4_t4
13,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 3: Changing Family Patterns,Changing Patterns of Family Life: Child-bearing | A Level Sociology - Families,https://www.youtube.com/watch?v=MB4Yhmv4_t4
14,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 3: Changing Family Patterns,Oakley on the Family | A Level Sociology - Families,https://www.youtube.com/watch?v=O0YCDRNtdx0
15,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 4: Family Diversity,Murdock on the Family | A Level Sociology - Families,https://www.youtube.com/watch?v=uSuUjEyN05U
16,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 4: Family Diversity,Giddens on Family | A Level Sociology - Families,https://www.youtube.com/watch?v=YStmDspwL24
17,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 4: Family Diversity,Changing Patterns of Family Life: Divorce | A Level Sociology - Families,https://www.youtube.com/watch?v=ckRAVvCMX5g
18,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 4: Family Diversity,Changing Patterns of Family Life - Same-Sex Relationships | A Level Sociology - Families,https://www.youtube.com/watch?v=keUt8BJNo-4
19,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 5: State Policy & Family,Changing Patterns of Family Life - Marriage and Cohabitation | A Level Sociology - Families,https://www.youtube.com/watch?v=uf3E0t9Zp9Y
20,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 5: State Policy & Family,State Policy & the Family - Impacts of Policy on Gender Roles | A Level Sociology - Families,https://www.youtube.com/watch?v=boYg74Ik0Ac
21,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 5: State Policy & Family,State Policy - Impacts of Policy on Family Structures | A Level Sociology - Families,https://www.youtube.com/watch?v=3wCpiVh4NFQ
22,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 6: Demographic Trends,State Policy - Impacts of Policy on Childhood | A Level Sociology - Families,https://www.youtube.com/watch?v=W2_PG8Lg2hw
23,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 6: Demographic Trends,Changing Patterns of Family Life - Diversity of Family Structures | A Level Sociology - Families,https://www.youtube.com/watch?v=Jspux2vhSF8
24,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 6: Demographic Trends,Changing Patterns of Family Life - Ethnic Diversity | A Level Sociology - Families,https://www.youtube.com/watch?v=wQZJFbap25A
25,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 6: Demographic Trends,Changing Patterns of Family Life - Ethnic Diversity | A Level Sociology - Families,https://www.youtube.com/watch?v=wQZJFbap25A
26,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 6: Demographic Trends,Changing Patterns of Family Life - Extended Families | A Level Sociology - Families,https://www.youtube.com/watch?v=ybMwin5ah58
27,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 6: Demographic Trends,Changing Patterns of Family Life - Extended Families | A Level Sociology - Families,https://www.youtube.com/watch?v=ybMwin5ah58
28,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 7: Childhood,Changing Patterns of Family Life - Life Course Analysis | A Level Sociology - Families,https://www.youtube.com/watch?v=eyBeUfinhPY
29,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 7: Childhood,Changing Patterns of Family Life - Lone Parent Families | A Level Sociology - Families,https://www.youtube.com/watch?v=9h5Mth6_YYU
30,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 7: Childhood,Changing Patterns of Family Life - Lone Parent Families | A Level Sociology - Families,https://www.youtube.com/watch?v=9h5Mth6_YYU
31,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 7: Childhood,Changing Patterns of Family Life - Lone Person Households | A Level Sociology - Families,https://www.youtube.com/watch?v=JxeQipLEhWA
32,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 8: Gender Roles & Relationships,Changing Patterns of Family Life - Lone Person Households | A Level Sociology - Families,https://www.youtube.com/watch?v=JxeQipLEhWA
33,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 8: Gender Roles & Relationships,Changing Patterns of Family Life - Reconstituted Families | A Level Sociology - Families,https://www.youtube.com/watch?v=77ctkiyYYyY
34,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 8: Gender Roles & Relationships,Changing Patterns of Family Life - Reconstituted Families | A Level Sociology - Families,https://www.youtube.com/watch?v=77ctkiyYYyY
35,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 8: Gender Roles & Relationships,Demographic Trends in UK | Change in Size of Family | A Level Sociology Families,https://www.youtube.com/watch?v=3p7ezysb6S4
36,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 8: Gender Roles & Relationships,Demographic Trends in UK | Impact of Globalisation on Family | A Level Sociology - Families,https://www.youtube.com/watch?v=N1prJXsoFGA
37,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 9: Contemporary Sociological Updates,Demographic Trends in UK | Death Rates and Life Expectancy | A Level Sociology - Families,https://www.youtube.com/watch?v=QaW5Yo8h6zg
38,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 9: Contemporary Sociological Updates,Demographic Trends in UK | Migration | A Level Sociology - Families,https://www.youtube.com/watch?v=b5GAtbMQ90c
39,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 9: Contemporary Sociological Updates,Demographic Trends in UK | Ageing Population | A Level Sociology - Families,https://www.youtube.com/watch?v=KXwKjyLuPaY
40,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 9: Contemporary Sociological Updates,Demographic Trends in UK | Birth and Fertility Rates | A Level Sociology - Families,https://www.youtube.com/watch?v=07-3CFDDtMw
41,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 9: Contemporary Sociological Updates,Childhood | Is Childhood Disappearing | A Level Sociology - Families,https://www.youtube.com/watch?v=1BGtbnAsw_8
42,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 9: Contemporary Sociological Updates,Childhood | Child-Centred Society | A Level Sociology - Families,https://www.youtube.com/watch?v=McrnXwvWKII
43,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 9: Contemporary Sociological Updates,Childhood | Social Construction of Childhood | A Level Sociology - Families,https://www.youtube.com/watch?v=kwhNQDhvdrg
44,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 9: Contemporary Sociological Updates,Childhood | Status of Children | A Level Sociology - Families,https://www.youtube.com/watch?v=EmnsSbJ8at0
45,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 9: Contemporary Sociological Updates,Gender Roles & Relationships | Power Relationships | A Level Sociology - Families,https://www.youtube.com/watch?v=ztDKpAtcEZg
46,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 9: Contemporary Sociological Updates,Gender Roles & Relationships | Domestic Labour | A Level Sociology - Families,https://www.youtube.com/watch?v=-L29QaWTM5s
47,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 9: Contemporary Sociological Updates,Gender Roles & Relationships | Emotional Labour | A Level Sociology - Families,https://www.youtube.com/watch?v=pZFVU_KTovs
48,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 9: Contemporary Sociological Updates,Gender Roles & Relationships | Changing Gender Roles | A Level Sociology - Families,https://www.youtube.com/watch?v=obYPZrY3Guw
49,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 9: Contemporary Sociological Updates,Gender Roles & Relationships | Decision Making | A Level Sociology - Families,https://www.youtube.com/watch?v=aZ_3_TIHcfM
50,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 9: Contemporary Sociological Updates,UK Migration | Census 2021 | AQA A-Level Sociology Update,https://www.youtube.com/watch?v=K10tCAiCgIo
51,Sociology,Sociology: Families and Households (AQA A-Level Sociology),,12th,English/Hindi,Module 9: Contemporary Sociological Updates,Measuring Household Deprivation | Census 2021 | AQA A-Level Sociology Update,https://www.youtube.com/watch?v=LvG6cbV5fkE
