S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Sociology,sociology unit5 - Stratification & Mobility,13hrs 18min,12th,English/Hindi,Module 1: Foundations of Social Stratification,Sociology for UPSC : EQUALITY - Chapter 5 - Paper 1 - Lecture 1,https://www.youtube.com/watch?v=DR5ji0yqam8
2,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 1: Foundations of Social Stratification,Sociology for UPSC : INEQUALITY - Chapter 5 - Paper 1 - Lecture 2,https://www.youtube.com/watch?v=YYREZHyo6Ss
3,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 1: Foundations of Social Stratification,Sociology for UPSC : EXCLUSION - Chapter 5 - Paper 1 - Lecture 3,https://www.youtube.com/watch?v=hkg72RoTmT8
4,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 1: Foundations of Social Stratification,Sociology for UPSC : POVERTY & DEPRIVATION - Chapter 5 - Paper 1 - Lecture 4,https://www.youtube.com/watch?v=tQDW2Bvwkic
5,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 2: Theories of Social Stratification,Sociology for UPSC : HIERARCHY vs STRATIFICATION  - Chapter 5 - Paper 1 - Lecture 5,https://www.youtube.com/watch?v=-VdAH-_zOkM
6,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 2: Theories of Social Stratification,Sociology for UPSC: THEORIES OF STRATIFICATION INTRO - Chapter 5 - Paper 1 - Lecture 6,https://www.youtube.com/watch?v=uOHkNWgYJkQ
7,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 2: Theories of Social Stratification,Sociology for UPSC : MARX's THEORY OF STRATIFICATION - Chapter 5 - Paper 1 - Lecture 7,https://www.youtube.com/watch?v=yMNFhTEz2e8
8,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 2: Theories of Social Stratification,Sociology for UPSC : PARSONS THEORY OF STRATIFICATION - Chapter 5 - Paper 1 - Lecture 8,https://www.youtube.com/watch?v=mZxep9_l6fA
9,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 2: Theories of Social Stratification,Sociology for UPSC : DAVIS AND MOORE's THEORY OF STRATIFICATION - Chapter 5 - Paper 1 - Lecture 9,https://www.youtube.com/watch?v=UYNuSknSReI
10,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 2: Theories of Social Stratification,Sociology for UPSC : ULRICH BECK's THEORY OF STRATIFICATION - Chapter 5 - Paper 1 - Lecture 10,https://www.youtube.com/watch?v=r91K9C1BCOc
11,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 3: Manifestations of Social Stratification,Sociology for UPSC : WARNER's THEORY OF STRATIFICATION - Chapter 5 - Paper 1 - Lecture 11,https://www.youtube.com/watch?v=raru-5lFNKE
12,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 3: Manifestations of Social Stratification,Sociology for UPSC : WEBER's THEORY OF STRATIFICATION - Chapter 5 - Paper 1 - Lecture 12,https://www.youtube.com/watch?v=Wk44MUFnjwU
13,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 3: Manifestations of Social Stratification,Sociology for UPSC : CLASS BASED SOCIAL STRATIFICATION - Chapter 5 - Paper 1 - Lecture 13,https://www.youtube.com/watch?v=E-Uq-pJMuSA
14,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 3: Manifestations of Social Stratification,Sociology for UPSC : STATUS BASED SOCIAL STRATIFICATION - Chapter 5 - Paper 1 - Lecture 14,https://www.youtube.com/watch?v=HkINQwwm1tc
15,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 3: Manifestations of Social Stratification,Sociology for UPSC : GENDER Based Social Stratification - Chapter 5 - Paper 1 - Lecture 15,https://www.youtube.com/watch?v=5ym9fO1K9_s
16,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 4: Social Mobility,Sociology for UPSC : RACE Based Social Stratification - Chapter 5 - Paper 1 - Lecture 16,https://www.youtube.com/watch?v=JK2_6-z8OTw
17,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 4: Social Mobility,Sociology for UPSC : CASTE vs RACE - Chapter 5 - Paper 1 - Lecture 17,https://www.youtube.com/watch?v=7-AEJw-lGCo
18,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 4: Social Mobility,Sociology for UPSC : ETHNICITY Based Social Stratification - Chapter 5 - Paper 1 - Lecture 18,https://www.youtube.com/watch?v=bzQmhdOi1IE
19,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 4: Social Mobility,Sociology for UPSC : SOCIAL MOBILITY - Chapter 5 - Paper 1 - Lecture 19,https://www.youtube.com/watch?v=AlMp0RoFrCE
20,Sociology,sociology unit5 - Stratification & Mobility,,12th,English/Hindi,Module 4: Social Mobility,Sociology for UPSC : Social Mobility - Avenues and Consequences - Chapter 5 - Paper 1 - Lecture 20,https://www.youtube.com/watch?v=PpaWzQTNnZE
