S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Special Education,Early intervention,29hrs 10min,12th,English/Hindi,Module 1: Introduction to Early Intervention,Early Intervention Home Visits,https://www.youtube.com/watch?v=8fOJGmIdj0c
2,Special Education,Early intervention,,12th,English/Hindi,Module 1: Introduction to Early Intervention,Introduction to Early Intervention,https://www.youtube.com/watch?v=aQ_TUd5TEEM
3,Special Education,Early intervention,,12th,English/Hindi,Module 1: Introduction to Early Intervention,Early Intervention: A Routines-Based Approach - Part 1:Traditional vs Routines,https://www.youtube.com/watch?v=OpxGC6G0HMY
4,Special Education,Early intervention,,12th,English/Hindi,Module 1: Introduction to Early Intervention,Eden Autism Services Early Intervention,https://www.youtube.com/watch?v=AU5qvYUy61I
5,Special Education,Early intervention,,12th,English/Hindi,Module 2: Early Intervention: A Routines-Based Approach - Part 1:Traditional vs Routines,Using Coaching Strategies to Engage With Families in an Early Intervention Context,https://www.youtube.com/watch?v=dJvriZEZfkI
6,Special Education,Early intervention,,12th,English/Hindi,Module 2: Early Intervention: A Routines-Based Approach - Part 1:Traditional vs Routines,"""Now and Then"" An Early Intervention Story",https://www.youtube.com/watch?v=GUnrdgwBedU
7,Special Education,Early intervention,,12th,English/Hindi,Module 2: Early Intervention: A Routines-Based Approach - Part 1:Traditional vs Routines,Early Intervention Can Decrease Autism,https://www.youtube.com/watch?v=-2TzndY3YXU
8,Special Education,Early intervention,,12th,English/Hindi,Module 3: Eden Autism Services Early Intervention,"Past, Present and Future of Early Intervention: A view through the ASD Lens: Sally Rogers, Ph.D.",https://www.youtube.com/watch?v=oiZNeKFPuvU
9,Special Education,Early intervention,,12th,English/Hindi,Module 3: Eden Autism Services Early Intervention,Progress Centre - What to Expect from Early Intervention,https://www.youtube.com/watch?v=jo2K0OwzT0A
10,Special Education,Early intervention,,12th,English/Hindi,Module 3: Eden Autism Services Early Intervention,Autism: Early Intervention Part 1. (Cliffs Notes),https://www.youtube.com/watch?v=wlTBTjQx2kQ
11,Special Education,Early intervention,,12th,English/Hindi,Module 4: Early Childhood Intervention and the Power of Family,Early Childhood Intervention and the Power of Family,https://www.youtube.com/watch?v=3GAHmiI1K64
12,Special Education,Early intervention,,12th,English/Hindi,Module 4: Early Childhood Intervention and the Power of Family,Early Interventions in Reading,https://www.youtube.com/watch?v=_h-bAgFrZLc
13,Special Education,Early intervention,,12th,English/Hindi,Module 5: Early Interventions in Reading,Early Intervention,https://www.youtube.com/watch?v=USmpz_OA4po
14,Special Education,Early intervention,,12th,English/Hindi,Module 5: Early Interventions in Reading,McWilliam on RBI and Early Intervention,https://www.youtube.com/watch?v=yhcUotSkYAY
15,Special Education,Early intervention,,12th,English/Hindi,Module 6: Assistive Technology for Early Intervention,Assistive Technology for Early Intervention,https://www.youtube.com/watch?v=72aWkBm7K5I
16,Special Education,Early intervention,,12th,English/Hindi,Module 6: Assistive Technology for Early Intervention,Early Intervention for Young People with BPD (Borderline Personality Disorder): Prof Andrew Chanen,https://www.youtube.com/watch?v=vmjytXKsziY
17,Special Education,Early intervention,,12th,English/Hindi,Module 7: Early interventions for musculoskeletal disorders,Early interventions for musculoskeletal disorders,https://www.youtube.com/watch?v=jiykUU3U_lM
18,Special Education,Early intervention,,12th,English/Hindi,Module 7: Early interventions for musculoskeletal disorders,Transition from Early Intervention to Preschool Special Education,https://www.youtube.com/watch?v=dPeemjRcRio
19,Special Education,Early intervention,,12th,English/Hindi,Module 8: Early intervention for managing psych claims,Early intervention for managing psych claims,https://www.youtube.com/watch?v=l3QXaPNlpkc
20,Special Education,Early intervention,,12th,English/Hindi,Module 8: Early intervention for managing psych claims,TalkTools  |  Speech Clarity Evaluation for Therapy Planning: Early Intervention - Down Syndrome,https://www.youtube.com/watch?v=Qe2plt-Pe8Y
21,Special Education,Early intervention,,12th,English/Hindi,Module 9: Importance of Early Intervention: Speech Language Pathology,Importance of Early Intervention: Speech Language Pathology,https://www.youtube.com/watch?v=IQBmrxTz0NA
22,Special Education,Early intervention,,12th,English/Hindi,Module 9: Importance of Early Intervention: Speech Language Pathology,Building a Predictive Early Intervention System to Prevent Adverse Police Incidents,https://www.youtube.com/watch?v=i7eYjmOj8Dg
23,Special Education,Early intervention,,12th,English/Hindi,Module 9: Importance of Early Intervention: Speech Language Pathology,Early Intervention 101,https://www.youtube.com/watch?v=9ok1tFCsDz8
