S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Special Education,Special education,10hrs 2min,12th,English/Hindi,Module 1: Theme Parks and Inclusivity,Theme park caters to people with disabilities,https://www.youtube.com/watch?v=9eZLG6zrKTY
2,Special Education,Special education,,12th,English/Hindi,Module 1: Theme Parks and Inclusivity,Theme park caters to people with disabilities,https://www.youtube.com/watch?v=9eZLG6zrKTY
3,Special Education,Special education,,12th,English/Hindi,"""Module 1: If You Listen, You Will Hear Us""","""If You Listen, You Will Hear Us""",https://www.youtube.com/watch?v=Hp4PW17U_h8
4,Special Education,Special education,,12th,English/Hindi,Module 1: Theme Parks and Inclusivity,Special: A Bhutanese documentary on people living with disabilities,https://www.youtube.com/watch?v=InBkdjnl1CY
5,Special Education,Special education,,12th,English/Hindi,Module 2: Overcoming Challenges,Recovering from Brain Damage: Near Drowning,https://www.youtube.com/watch?v=fcm7OCZh-6A
6,Special Education,Special education,,12th,English/Hindi,Module 2: Overcoming Challenges,Mat - A young man with cerebral palsy inspires others (Sean Dobra),https://www.youtube.com/watch?v=VUtJ9VTTK_g
7,Special Education,Special education,,12th,English/Hindi,Module 2: Overcoming Challenges,Pascual Cervantes Serrrat. Parálisis cerebral.,https://www.youtube.com/watch?v=8gX1j3KLJPM
8,Special Education,Special education,,12th,English/Hindi,Module 2: Overcoming Challenges,Alfie's story,https://www.youtube.com/watch?v=V13HiQxeuvY
9,Special Education,Special education,,12th,English/Hindi,Module 3: Alfie's Story,Alfie's story,https://www.youtube.com/watch?v=V13HiQxeuvY
10,Special Education,Special education,,12th,English/Hindi,Module 3: Alfie's Story,Justin sitting 5 months after DBS,https://www.youtube.com/watch?v=VTHGaKtRDqo
11,Special Education,Special education,,12th,English/Hindi,Module 4: Cerebral Palsy - Treatment and Support,Free Treatment of Cerebral Palsy- Arjun Zlamalik from Croatia | Narayan Seva Sansthan,https://www.youtube.com/watch?v=oTZI6nxVGm0
12,Special Education,Special education,,12th,English/Hindi,Module 4: Cerebral Palsy - Treatment and Support,The Daverts: Brittle Bones & Cerebral Palsy,https://www.youtube.com/watch?v=vjXbTZuBzjM
13,Special Education,Special education,,12th,English/Hindi,Module 4: Cerebral Palsy - Treatment and Support,The Daverts: Brittle Bones & Cerebral Palsy,https://www.youtube.com/watch?v=vjXbTZuBzjM
14,Special Education,Special education,,12th,English/Hindi,Module 4: Cerebral Palsy - Treatment and Support,The Daverts: Brittle Bones & Cerebral Palsy,https://www.youtube.com/watch?v=vjXbTZuBzjM
15,Special Education,Special education,,12th,English/Hindi,Module 5: Parents of Children with Disabilities,Parents Feed Cerebral Palsy Daughter Mouth To Mouth,https://www.youtube.com/watch?v=QEkuQEcYpP0
16,Special Education,Special education,,12th,English/Hindi,Module 5: Parents of Children with Disabilities,MOV00249,https://www.youtube.com/watch?v=G7dKhifTFBY
17,Special Education,Special education,,12th,English/Hindi,Module 5: Parents of Children with Disabilities,Wendy Gilker — Raising Bree,https://www.youtube.com/watch?v=x9Y74rLltuI
