"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
10172,"Special Education","The perfect transition.","8hrs 19min","12th","English/Hindi","Module 1: A BOY IS A GUN* & Alright","A BOY IS A GUN*","https://www.youtube.com/watch?v=McYy8pEniUc"
10173,"Special Education","The perfect transition.","","12th","English/Hindi","Module 1: RUNNING OUT OF TIME & Flashing Lights","Alright","https://www.youtube.com/watch?v=67vr-3kpX3Q"
10174,"Special Education","The perfect transition.","","12th","English/Hindi","Module 1: Bring Me Down & You Don't Know My Name","RUNNING OUT OF TIME","https://www.youtube.com/watch?v=Uyf_lImpdRw"
10175,"Special Education","The perfect transition.","","12th","English/Hindi","Module 1: Overnight Celebrity & Super Rich Kids","Flashing Lights","https://www.youtube.com/watch?v=cxKs2b5lRsA"
10176,"Special Education","The perfect transition.","","12th","English/Hindi","Module 2: Green Eyes & Only One","Bring Me Down","https://www.youtube.com/watch?v=CZ_-O31R3p4"
10177,"Special Education","The perfect transition.","","12th","English/Hindi","Module 2: FEAR. & Survival Tactics","You Don't Know My Name","https://www.youtube.com/watch?v=wyaA5Hooh1o"
10178,"Special Education","The perfect transition.","","12th","English/Hindi","Module 2: Drive Slow & Sailin’ Da South","Overnight Celebrity","https://www.youtube.com/watch?v=z3JmMF6dGGk"
10179,"Special Education","The perfect transition.","","12th","English/Hindi","Module 2: 90210 & The Story of O.J.","Super Rich Kids","https://www.youtube.com/watch?v=0XCQNpjWmRE"
10180,"Special Education","The perfect transition.","","12th","English/Hindi","Module 3: See You Again & Pink + White","Green Eyes","https://www.youtube.com/watch?v=RPFyeCmHXjY"
10181,"Special Education","The perfect transition.","","12th","English/Hindi","Module 3: Hello & Doves In The Wind","Only One","https://www.youtube.com/watch?v=ZmYdIykD5g8"
10182,"Special Education","The perfect transition.","","12th","English/Hindi","Module 3: Come Back to Earth & Seigfried","FEAR.","https://www.youtube.com/watch?v=jdbQYDkNjfk"
10183,"Special Education","The perfect transition.","","12th","English/Hindi","Module 3: The New Workout Plan & Work Out","Survival Tactics","https://www.youtube.com/watch?v=Re-rt1a5bKg"
10184,"Special Education","The perfect transition.","","12th","English/Hindi","Module 4: Something to Rap About & Love Is Only a Feeling","Drive Slow","https://www.youtube.com/watch?v=Q1ViJEYNki4"
10185,"Special Education","The perfect transition.","","12th","English/Hindi","Module 4: Hurt Feelings & Awkward","Sailin’ Da South","https://www.youtube.com/watch?v=7wznv-GcdyI"
10186,"Special Education","The perfect transition.","","12th","English/Hindi","Module 4: Tidal Wave & Laila’s Wisdom","90210","https://www.youtube.com/watch?v=tBfWb5IrbOI"
10187,"Special Education","The perfect transition.","","12th","English/Hindi","Module 4: After The Storm & Colossus","The Story of O.J.","https://www.youtube.com/watch?v=JRW5TbVApFw"
10188,"Special Education","The perfect transition.","","12th","English/Hindi","Module 5: Woods & Where This Flower Blooms","See You Again","https://www.youtube.com/watch?v=EZE62LpaqHg"
10189,"Special Education","The perfect transition.","","12th","English/Hindi","Module 5: Purple & U-Love","Pink + White","https://www.youtube.com/watch?v=9cHbvRUALrc"
10190,"Special Education","The perfect transition.","","12th","English/Hindi","Module 5: Montara & Mind Playing Tricks on Me","Hello","https://www.youtube.com/watch?v=6jBhlyyB30o"
10191,"Special Education","The perfect transition.","","12th","English/Hindi","Module 5: Window Seat & John Redcorn","Doves In The Wind","https://www.youtube.com/watch?v=VpymZzZ8Opg"
10192,"Special Education","The perfect transition.","","12th","English/Hindi","Module 6: A BOY IS A GUN* & Alright","Come Back to Earth","https://www.youtube.com/watch?v=VzAjXdBJsEc"
10193,"Special Education","The perfect transition.","","12th","English/Hindi","Module 6: RUNNING OUT OF TIME & Flashing Lights","Seigfried","https://www.youtube.com/watch?v=p_oL2OIGo04"
10194,"Special Education","The perfect transition.","","12th","English/Hindi","Module 6: Bring Me Down & You Don't Know My Name","The New Workout Plan","https://www.youtube.com/watch?v=IzNunT2AOO4"
10195,"Special Education","The perfect transition.","","12th","English/Hindi","Module 6: Overnight Celebrity & Super Rich Kids","Work Out","https://www.youtube.com/watch?v=UWlibNTrg80"
10196,"Special Education","The perfect transition.","","12th","English/Hindi","Module 7: Green Eyes & Only One","Something to Rap About","https://www.youtube.com/watch?v=UHzY8g13tQc"
10197,"Special Education","The perfect transition.","","12th","English/Hindi","Module 7: FEAR. & Survival Tactics","Love Is Only a Feeling","https://www.youtube.com/watch?v=mHM8Qa6zsVg"
10198,"Special Education","The perfect transition.","","12th","English/Hindi","Module 7: Drive Slow & Sailin’ Da South","Hurt Feelings","https://www.youtube.com/watch?v=BMuD8uIWup4"
10199,"Special Education","The perfect transition.","","12th","English/Hindi","Module 7: 90210 & The Story of O.J.","Awkward","https://www.youtube.com/watch?v=aG3mbIZY92E"
10200,"Special Education","The perfect transition.","","12th","English/Hindi","Module 8: See You Again & Pink + White","Tidal Wave","https://www.youtube.com/watch?v=Wb6VsjwjinA"
10201,"Special Education","The perfect transition.","","12th","English/Hindi","Module 8: Hello & Doves In The Wind","Laila’s Wisdom","https://www.youtube.com/watch?v=btYlWphnfbE"
10202,"Special Education","The perfect transition.","","12th","English/Hindi","Module 8: Come Back to Earth & Seigfried","After The Storm","https://www.youtube.com/watch?v=vgOTxZtlXys"
10203,"Special Education","The perfect transition.","","12th","English/Hindi","Module 8: The New Workout Plan & Work Out","Colossus","https://www.youtube.com/watch?v=Nn0tZl3Plcs"
10204,"Special Education","The perfect transition.","","12th","English/Hindi","Module 9: Something to Rap About & Love Is Only a Feeling","Woods","https://www.youtube.com/watch?v=Azguk7bkovY"
10205,"Special Education","The perfect transition.","","12th","English/Hindi","Module 9: Hurt Feelings & Awkward","Where This Flower Blooms","https://www.youtube.com/watch?v=1gAHhLb6tjA"
10206,"Special Education","The perfect transition.","","12th","English/Hindi","Module 9: Tidal Wave & Laila’s Wisdom","Purple","https://www.youtube.com/watch?v=LPmUHNaqKP0"
10207,"Special Education","The perfect transition.","","12th","English/Hindi","Module 9: After The Storm & Colossus","U-Love","https://www.youtube.com/watch?v=_bQSG6WbP6A"
10208,"Special Education","The perfect transition.","","12th","English/Hindi","Module 10: Woods & Where This Flower Blooms","Montara","https://www.youtube.com/watch?v=P3zV0Ug4GCQ"
10209,"Special Education","The perfect transition.","","12th","English/Hindi","Module 10: Purple & U-Love","Mind Playing Tricks on Me","https://www.youtube.com/watch?v=6qZAQZpcwxI"
10210,"Special Education","The perfect transition.","","12th","English/Hindi","Module 10: Montara & Mind Playing Tricks on Me","Window Seat","https://www.youtube.com/watch?v=IJ_5GJeluaY"
10211,"Special Education","The perfect transition.","","12th","English/Hindi","Module 10: Window Seat & John Redcorn","John Redcorn","https://www.youtube.com/watch?v=cPSQoVCWv5Q"
