S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Sports Management,Sport's Songs,3hrs 31min,12th,English/Hindi,Module 1: Anthems of the Beautiful Game,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),https://www.youtube.com/watch?v=pRpeEdMmmQ0
2,Sports Management,Sport's Songs,,12th,English/Hindi,Module 1: Anthems of the Beautiful Game,Hips Dont Lie [Bamboo] - Shakira ♪,https://www.youtube.com/watch?v=9l1MHVQ_ho4
3,Sports Management,Sport's Songs,,12th,English/Hindi,Module 1: Anthems of the Beautiful Game,Oceana - Endless Summer (Official Video UEFA EURO 2012),https://www.youtube.com/watch?v=5EVhiBGvVFc
4,Sports Management,Sport's Songs,,12th,English/Hindi,Module 1: Anthems of the Beautiful Game,Blur - Song 2 (Official Music Video),https://www.youtube.com/watch?v=SSbBvKaM6sk
5,Sports Management,Sport's Songs,,12th,English/Hindi,Module 2: International Football Grooves,אריק איינשטיין- אדומה שלי (קליפ הדאבל),https://www.youtube.com/watch?v=2wzVd4g1FbQ
6,Sports Management,Sport's Songs,,12th,English/Hindi,Module 2: International Football Grooves,הפועל תל אביב שיר הדאבל 99/2000 - אריאל זילבר בליווי להקת אנרגיה חולנית ואוהדים,https://www.youtube.com/watch?v=MuA7LWFAXus
7,Sports Management,Sport's Songs,,12th,English/Hindi,Module 2: International Football Grooves,שיר הגביע 1999,https://www.youtube.com/watch?v=fBIEsEaaUyw
8,Sports Management,Sport's Songs,,12th,English/Hindi,Module 2: International Football Grooves,Lenny Kravitz - Black And White America (Official Video),https://www.youtube.com/watch?v=7wsqtg-Rs7Y
9,Sports Management,Sport's Songs,,12th,English/Hindi,Module 3: Classic Rock & Pop Chants,Tubthumping (I Get Knocked Down) Lyrics,https://www.youtube.com/watch?v=LODkVkpaVQA
10,Sports Management,Sport's Songs,,12th,English/Hindi,Module 3: Classic Rock & Pop Chants,i'm forever blowing bubble,https://www.youtube.com/watch?v=yvuOtlpSAeY
11,Sports Management,Sport's Songs,,12th,English/Hindi,Module 3: Classic Rock & Pop Chants,Zombie Nation - Kernkraft 400 (Sport Chant Remix) Best Quality,https://www.youtube.com/watch?v=6qDQpErbtjU
12,Sports Management,Sport's Songs,,12th,English/Hindi,Module 4: Electronic Stadium Anthems,Fifa 99 Soundtrack - Lionrock - Rude Boy Rock,https://www.youtube.com/watch?v=g1ZDzBLnyTY
13,Sports Management,Sport's Songs,,12th,English/Hindi,Module 4: Electronic Stadium Anthems,Apollo 440 - Stop the Rock (IDS Version Without Shouting) [Video],https://www.youtube.com/watch?v=4GHN1Mu6VG0
