S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Sports Management,Work Ethic Learn from Champions: Hum Jeetenge,7hrs 34min,12th,English/Hindi,Module 1: Foundations of Work Ethic - Hum Jeetenge,Cristiano Ronaldo: Work Ethic of a Legend. Hum Jeetenge😎,https://www.youtube.com/watch?v=-GauEDxjle8
2,Sports Management,Work Ethic Learn from Champions: Hum Jeetenge,,12th,English/Hindi,Module 1: Foundations of Work Ethic - Hum Jeetenge,Work Ethic🚀 that made Will Smith🚀. Hum Jeetenge 😎,https://www.youtube.com/watch?v=xNW3nsKTwNg
3,Sports Management,Work Ethic Learn from Champions: Hum Jeetenge,,12th,English/Hindi,Module 1: Foundations of Work Ethic - Hum Jeetenge,Kobe Bryant WORK ETHIC🚀How to Build a Strong Belief System.🚀#RipMamba,https://www.youtube.com/watch?v=PwqYCx6x6Es
4,Sports Management,Work Ethic Learn from Champions: Hum Jeetenge,,12th,English/Hindi,Module 1: Foundations of Work Ethic - Hum Jeetenge,Sachin Tendulkar WORK ETHIC: Effort on Every Ball. HJ 😎,https://www.youtube.com/watch?v=lyhrASWG5DU
5,Sports Management,Work Ethic Learn from Champions: Hum Jeetenge,,12th,English/Hindi,Module 2: The Champion's Mindset - Hum Jeetenge,Legendary Work Ethic of Muhammad Ali. HJ 😎,https://www.youtube.com/watch?v=7ESqMtk4rJY
6,Sports Management,Work Ethic Learn from Champions: Hum Jeetenge,,12th,English/Hindi,Module 2: The Champion's Mindset - Hum Jeetenge,"If you sleep on a Win, You will wake up with a Loss. Connor Mcgregor Work ethic. HJ",https://www.youtube.com/watch?v=rN37E0E2WJc
7,Sports Management,Work Ethic Learn from Champions: Hum Jeetenge,,12th,English/Hindi,Module 2: The Champion's Mindset - Hum Jeetenge,Amitabh Bachchan : Work Ethic of a Legendary Actor .HJ 😎,https://www.youtube.com/watch?v=0jCjX9bXOSc
8,Sports Management,Work Ethic Learn from Champions: Hum Jeetenge,,12th,English/Hindi,Module 3: Legends of Discipline and Focus - Hum Jeetenge,MINDSET for Competitive Exam.Work Ethic for Students .HJ 😎,https://www.youtube.com/watch?v=Q0jwASzc7kI
9,Sports Management,Work Ethic Learn from Champions: Hum Jeetenge,,12th,English/Hindi,Module 3: Legends of Discipline and Focus - Hum Jeetenge,MINDSET for Competitive Exam.Work Ethic for Students .HJ 😎,https://www.youtube.com/watch?v=Q0jwASzc7kI
10,Sports Management,Work Ethic Learn from Champions: Hum Jeetenge,,12th,English/Hindi,Module 3: Legends of Discipline and Focus - Hum Jeetenge,खुद पर भरोसा. Rohit Sharma . HJ 😎,https://www.youtube.com/watch?v=clEdh-pDB64
11,Sports Management,Work Ethic Learn from Champions: Hum Jeetenge,,12th,English/Hindi,Module 4:  Indian Icons of  Work Ethic - Hum Jeetenge,बचपन में कैसे थे DhiruBhai ?  Work Ethic of Young DhiruBhai,https://www.youtube.com/watch?v=N_MXFvn8jD4
12,Sports Management,Work Ethic Learn from Champions: Hum Jeetenge,,12th,English/Hindi,Module 4:  Indian Icons of  Work Ethic - Hum Jeetenge,Self Belief and Confidence. Virender Sehwag. Work Ethic,https://www.youtube.com/watch?v=VutJeieT_Us
13,Sports Management,Work Ethic Learn from Champions: Hum Jeetenge,,12th,English/Hindi,Module 4:  Indian Icons of  Work Ethic - Hum Jeetenge,एक Champion कैसे सोचता है? : Floyd Mayweather  Work Ethic,https://www.youtube.com/watch?v=5s7jRxeHmn8
14,Sports Management,Work Ethic Learn from Champions: Hum Jeetenge,,12th,English/Hindi,Module 5:  Unbreakable Spirit - Hum Jeetenge,[Mindset] जिसने Novak Djokovic को No.1 बनाया. Work Ethic,https://www.youtube.com/watch?v=6vyLZUd29DY
15,Sports Management,Work Ethic Learn from Champions: Hum Jeetenge,,12th,English/Hindi,Module 5:  Unbreakable Spirit - Hum Jeetenge,[Work Ethic] Discipline is the Only Secret. Sunil Chhetri,https://www.youtube.com/watch?v=ifsueFiV1mg
16,Sports Management,Work Ethic Learn from Champions: Hum Jeetenge,,12th,English/Hindi,Module 5:  Unbreakable Spirit - Hum Jeetenge,[Work Ethic] Kane Williamson. Sharp and Calm Mind,https://www.youtube.com/watch?v=3SEV9MlazCE
17,Sports Management,Work Ethic Learn from Champions: Hum Jeetenge,,12th,English/Hindi,Module 6:  Mental Fortitude and Resilience - Hum Jeetenge,[Work Ethic] Neeraj Chopra: मैंने हमेशा मन लगाकर training की है !!,https://www.youtube.com/watch?v=8g3oAyEGWp8
18,Sports Management,Work Ethic Learn from Champions: Hum Jeetenge,,12th,English/Hindi,Module 6:  Mental Fortitude and Resilience - Hum Jeetenge,The Monk who runs Marathon. Eliud Kipchoge.  Work Ethic,https://www.youtube.com/watch?v=CMMSLXQAAho
