"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
10661,"Statistics","Descriptive Statistics (13 videos)","22hrs 21min","12th","English/Hindi","Module 1: Introduction to Measures of Central Tendency","Descriptive Statistics: The Mean","https://www.youtube.com/watch?v=bfQLNyiDPsk"
10662,"Statistics","Descriptive Statistics (13 videos)","","12th","English/Hindi","Module 1: Introduction to Measures of Central Tendency","Arithmetic Mean | Geometric Mean | Harmonic Mean","https://www.youtube.com/watch?v=jXKYI7wyqp0"
10663,"Statistics","Descriptive Statistics (13 videos)","","12th","English/Hindi","Module 1: Introduction to Measures of Central Tendency","Descriptive Statistics: The median","https://www.youtube.com/watch?v=rvBqEEGtJY4"
10664,"Statistics","Descriptive Statistics (13 videos)","","12th","English/Hindi","Module 2: Measures of Dispersion and Variability","Descriptive Statistics: The Mode","https://www.youtube.com/watch?v=HUUyX80PUuI"
10665,"Statistics","Descriptive Statistics (13 videos)","","12th","English/Hindi","Module 2: Measures of Dispersion and Variability","What are Quartiles? Percentiles? Deciles?","https://www.youtube.com/watch?v=Wy7w_5N7vLI"
10666,"Statistics","Descriptive Statistics (13 videos)","","12th","English/Hindi","Module 2: Measures of Dispersion and Variability","Range | Interquartile Range (IQR) | Box and whisker plot","https://www.youtube.com/watch?v=qcTcsEdMgBo"
10667,"Statistics","Descriptive Statistics (13 videos)","","12th","English/Hindi","Module 3: Exploring Data Distribution","Variance and Standard Deviation: Why divide by n-1?","https://www.youtube.com/watch?v=wpY9o_OyxoQ"
10668,"Statistics","Descriptive Statistics (13 videos)","","12th","English/Hindi","Module 3: Exploring Data Distribution","What is the Coefficient Of Variation?? (+ examples!)","https://www.youtube.com/watch?v=9dwLKGoaeEs"
10669,"Statistics","Descriptive Statistics (13 videos)","","12th","English/Hindi","Module 4: Understanding Skewness and Kurtosis","What is skewness? A detailed explanation (with moments!)","https://www.youtube.com/watch?v=_vDRKlTz7yo"
10670,"Statistics","Descriptive Statistics (13 videos)","","12th","English/Hindi","Module 4: Understanding Skewness and Kurtosis","What is Kurtosis? (+ the ""peakedness"" controversy!)","https://www.youtube.com/watch?v=TM033GCU-SY"
10671,"Statistics","Descriptive Statistics (13 videos)","","12th","English/Hindi","Module 5: Sampling and Estimation","Standard Error (of the sample mean) | Sampling | Confidence Intervals | Proportions","https://www.youtube.com/watch?v=ulBG4SOHKS0"
10672,"Statistics","Descriptive Statistics (13 videos)","","12th","English/Hindi","Module 5: Sampling and Estimation","What are ""moments"" in statistics? An intuitive video!","https://www.youtube.com/watch?v=ISaVvSO_3Sg"
10673,"Statistics","Descriptive Statistics (13 videos)","","12th","English/Hindi","Module 5: Sampling and Estimation","What is COVARIANCE? What is CORRELATION? Detailed video!","https://www.youtube.com/watch?v=mG__Wpp9dns"
