Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
5013,Supply Chain Management,Supply Chain Analytics,76hrs 13min,12th,English/Hindi,Module 1: Introduction and Evolution of Supply Chain Management,Introduction to Supply Chain Management,https://www.youtube.com/watch?v=raqi4gjMLm8
5014,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 1: Introduction and Evolution of Supply Chain Management,Evolution of Supply Chain Management,https://www.youtube.com/watch?v=abBvHqf26H8
5015,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 1: Introduction and Evolution of Supply Chain Management,Analytics in Supply Chain Management,https://www.youtube.com/watch?v=9FDKcxea3h8
5016,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 1: Introduction and Evolution of Supply Chain Management,Supply Chain Planning,https://www.youtube.com/watch?v=l9mebE3CGBQ
5017,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 2: Analytics and Planning in Supply Chain Management,Different views of Supply Chain,https://www.youtube.com/watch?v=7pxWGK3WDR0
5018,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 2: Analytics and Planning in Supply Chain Management,Supply Chain Strategy,https://www.youtube.com/watch?v=YOFr3m1IO4c
5019,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 2: Analytics and Planning in Supply Chain Management,Supply Chain Drivers,https://www.youtube.com/watch?v=ZiUCB6HDc-8
5020,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 3: Supply Chain Views and Strategies,Developing Supply Chain Strategy,https://www.youtube.com/watch?v=53frk1WtMpg
5021,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 3: Supply Chain Views and Strategies,Strategic Fit in Supply Chain,https://www.youtube.com/watch?v=CBLbXTypInA
5022,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 3: Supply Chain Views and Strategies,Demand Forecasting in Supply Chain,https://www.youtube.com/watch?v=tCnFx6VfPUA
5023,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 4: Supply Chain Drivers and Strategic Fit,Lecture 11,https://www.youtube.com/watch?v=-x3HAIzL1SQ
5024,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 4: Supply Chain Drivers and Strategic Fit,Lecture 12,https://www.youtube.com/watch?v=qpqLPEjMONE
5025,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 4: Supply Chain Drivers and Strategic Fit,Measures of Forecasting Errors,https://www.youtube.com/watch?v=33FsjodyvFg
5026,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 5: Demand Forecasting in Supply Chain,Tracking Signal and Seasonality Models,https://www.youtube.com/watch?v=E8D1h_CbI7o
5027,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 5: Demand Forecasting in Supply Chain,Forecasting using multiple characteristics in Demand Data and Inventory Management in Supply Chain,https://www.youtube.com/watch?v=qmVDbpss548
5028,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 5: Demand Forecasting in Supply Chain,Inventory Management in Supply Chain,https://www.youtube.com/watch?v=TTojGYDDR18
5029,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 6: Forecasting Methods and Measures,Multi echelon Inventory Management,https://www.youtube.com/watch?v=2rRK6iNmBes
5030,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 6: Forecasting Methods and Measures,Multi echelon Inventory Management (Continued),https://www.youtube.com/watch?v=Kr7NriOKwqI
5031,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 6: Forecasting Methods and Measures,Multi echelon Inventory Management for four stations,https://www.youtube.com/watch?v=vmy5XbMbNMM
5032,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 7: Forecasting with Multiple Characteristics,Multi echelon Inventory Management for four stations (Numerical Example),https://www.youtube.com/watch?v=M8eDTg4dAEo
5033,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 7: Forecasting with Multiple Characteristics,Multi echelon Inventory Management for four stations (Numerical Example continued),https://www.youtube.com/watch?v=NgVaurEj4cU
5034,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 7: Forecasting with Multiple Characteristics,Network Design in Supply Chain,https://www.youtube.com/watch?v=01bI1XeMaaw
5035,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 8: Inventory Management in Supply Chain,Network Design of Global Supply Chain,https://www.youtube.com/watch?v=DhZfuh_xTqA
5036,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 8: Inventory Management in Supply Chain,Alternative channels of Distribution,https://www.youtube.com/watch?v=lYCn6CoPIGg
5037,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 8: Inventory Management in Supply Chain,Location Decisions in Supply Chain,https://www.youtube.com/watch?v=Rune2SJNeTA
5038,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 9: Multi-Echelon Inventory Management,Network Optimization Models,https://www.youtube.com/watch?v=sIrZqL44e6Q
5039,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 9: Multi-Echelon Inventory Management,Using Excel Solver for Network Optimization,https://www.youtube.com/watch?v=16lTbQrmJ64
5040,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 9: Multi-Echelon Inventory Management,Uncertainty in Network Design,https://www.youtube.com/watch?v=T_46RU_lb7w
5041,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 10: Multi-Echelon Inventory Management (Continued),Network Design in Uncertain Environment and Flexibility,https://www.youtube.com/watch?v=yQxRm6rXIC8
5042,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 10: Multi-Echelon Inventory Management (Continued),Flexibility in Supply Chain,https://www.youtube.com/watch?v=okGSCAOpRN8
5043,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 10: Multi-Echelon Inventory Management (Continued),Optimal Level of Product Availability in Supply chain,https://www.youtube.com/watch?v=GQC9nDCEzsY
5044,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 11: Network Design in Supply Chain,Time Value of money in Supply Chain,https://www.youtube.com/watch?v=NUJVsy_y9Ws
5045,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 11: Network Design in Supply Chain,Different types of Analytics in Supply Chain,https://www.youtube.com/watch?v=A8B-0_Xp3n4
5046,Supply Chain Management,Supply Chain Analytics,,12th,English/Hindi,Module 11: Network Design in Supply Chain,Predictive Modelling in Forecasting in Supply Chain,https://www.youtube.com/watch?v=Gv0kHqiEyFE
