"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
7021,"Urban Planning","GIS Fundamentals: Geographical Information Systems and Urban Planning","10hrs 8min","12th","English/Hindi","Module 1: Introduction to GIS","What is GIS? An introduction to Geographical Information Systems","https://www.youtube.com/watch?v=AGWbKVp0rWc"
7022,"Urban Planning","GIS Fundamentals: Geographical Information Systems and Urban Planning","","12th","English/Hindi","Module 1: Thematic Maps and Geocoding","GIS Fundamentals: Thematic Maps","https://www.youtube.com/watch?v=nhKd8Fu0y0g"
7023,"Urban Planning","GIS Fundamentals: Geographical Information Systems and Urban Planning","","12th","English/Hindi","Module 1: Geoprocessing and Online Sharing","GIS Fundamentals: Geocoding, Geoprocessing, and Online Sharing, Address Geocoding with ArcGIS Online","https://www.youtube.com/watch?v=HpslDrBpo38"
7024,"Urban Planning","GIS Fundamentals: Geographical Information Systems and Urban Planning","","12th","English/Hindi","Module 1: GIS for Urban Planning","CityEngine for Planners 3: Integration and GIS","https://www.youtube.com/watch?v=osHzgs-ufX0"
7025,"Urban Planning","GIS Fundamentals: Geographical Information Systems and Urban Planning","","12th","English/Hindi","Module 2: WebGIS and Walkability Modeling","WebGIS: Not Just For The Experts","https://www.youtube.com/watch?v=CpI8yR-ESAc"
7026,"Urban Planning","GIS Fundamentals: Geographical Information Systems and Urban Planning","","12th","English/Hindi","Module 2: GIS Data Management","Introduction to GIS: Geographic Information Systems Fundamentals","https://www.youtube.com/watch?v=659CESxEb5U"
7027,"Urban Planning","GIS Fundamentals: Geographical Information Systems and Urban Planning","","12th","English/Hindi","Module 2: Urban Design with QGIS","GIS Walkability Modeling","https://www.youtube.com/watch?v=9Jfxj6vUMJc"
7028,"Urban Planning","GIS Fundamentals: Geographical Information Systems and Urban Planning","","12th","English/Hindi","Module 3: QGIS for Neighborhood Centers","GIS Essentials: Importing, Selecting, and Managing Data","https://www.youtube.com/watch?v=QPJgExGcd2o"
7029,"Urban Planning","GIS Fundamentals: Geographical Information Systems and Urban Planning","","12th","English/Hindi","Module 3: Transects and Buffers in QGIS","Urban Design for Planners: QGIS - Schools or Commercial Areas as Centers","https://www.youtube.com/watch?v=f9uF9HoVkRw"
7030,"Urban Planning","GIS Fundamentals: Geographical Information Systems and Urban Planning","","12th","English/Hindi","Module 3: Geoanalysis with ArcGIS","Urban Design for Planners 3 -  QGIS: Connecting Neighborhood Centers","https://www.youtube.com/watch?v=quMSiU2hRBM"
7031,"Urban Planning","GIS Fundamentals: Geographical Information Systems and Urban Planning","","12th","English/Hindi","Module 3: Google Earth Applications","Urban Design for Planners 2: Neighborhoods and Transects - Creating Buffers in QGIS","https://www.youtube.com/watch?v=v4jkFfDBamQ"
7032,"Urban Planning","GIS Fundamentals: Geographical Information Systems and Urban Planning","","12th","English/Hindi","Module 3: Advanced GIS Techniques","Geoanalysis with ArcGIS and Google Earth","https://www.youtube.com/watch?v=ILaAq19oGaE"
