"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
6768,"Urban Planning","Housing Policy & Planning","80hrs 16min","12th","English/Hindi","Module 1: Introduction & Classifications of Housing","Introduction to Housing","https://www.youtube.com/watch?v=VVuP27QGyuk"
6769,"Urban Planning","Housing Policy & Planning","","12th","English/Hindi","Module 1: Introduction & Classifications of Housing","Housing Classifications","https://www.youtube.com/watch?v=TkUh_luGjRw"
6770,"Urban Planning","Housing Policy & Planning","","12th","English/Hindi","Module 2: Housing Situation & Policy Interventions","Housing Situation","https://www.youtube.com/watch?v=7x5puylD_Rw"
6771,"Urban Planning","Housing Policy & Planning","","12th","English/Hindi","Module 2: Housing Situation & Policy Interventions","Policy and Public intervention-1","https://www.youtube.com/watch?v=p5lgFWDni-4"
6772,"Urban Planning","Housing Policy & Planning","","12th","English/Hindi","Module 3: Urban Reform & Housing Policy","Policy and Public intervention-2","https://www.youtube.com/watch?v=iWmmSoezRqo"
6773,"Urban Planning","Housing Policy & Planning","","12th","English/Hindi","Module 3: Urban Reform & Housing Policy","Urban Reform","https://www.youtube.com/watch?v=61xt4KZ-CJw"
6774,"Urban Planning","Housing Policy & Planning","","12th","English/Hindi","Module 4: Legal Framework & Land for Housing","Housing Policy","https://www.youtube.com/watch?v=Aky7zVGUw-s"
6775,"Urban Planning","Housing Policy & Planning","","12th","English/Hindi","Module 4: Legal Framework & Land for Housing","Legal & Institutional Framework for Housing","https://www.youtube.com/watch?v=du_nAU6D41s"
6776,"Urban Planning","Housing Policy & Planning","","12th","English/Hindi","Module 5: Affordability, Finance & Technology in Housing","Land for Housing-1","https://www.youtube.com/watch?v=3-vJSs581LU"
6777,"Urban Planning","Housing Policy & Planning","","12th","English/Hindi","Module 5: Affordability, Finance & Technology in Housing","Land for Housing-2","https://www.youtube.com/watch?v=ISMFLKCrPVM"
6778,"Urban Planning","Housing Policy & Planning","","12th","English/Hindi","Module 6: Technology in Housing & PMAY","Affordability & Housing Finance","https://www.youtube.com/watch?v=zjnnMOhOqP0"
6779,"Urban Planning","Housing Policy & Planning","","12th","English/Hindi","Module 6: Technology in Housing & PMAY","Technology Systems in Housing Delivery-1","https://www.youtube.com/watch?v=Vw9dfr_4qXE"
6780,"Urban Planning","Housing Policy & Planning","","12th","English/Hindi","Module 7: Housing Planning Introduction & Urban Planning","Technology Systems in Housing Delivery-2","https://www.youtube.com/watch?v=1bEc4pux0A0"
6781,"Urban Planning","Housing Policy & Planning","","12th","English/Hindi","Module 7: Housing Planning Introduction & Urban Planning","Housing for All Mission (PMAY) & Technology Sub-mission","https://www.youtube.com/watch?v=NrzYRsxtOlQ"
6782,"Urban Planning","Housing Policy & Planning","","12th","English/Hindi","Module 8: Urban Planning & Development Controls","Summing up of Part-1 (Policy) & Introduction to Housing Planning","https://www.youtube.com/watch?v=7x2Rv4v7AIA"
6783,"Urban Planning","Housing Policy & Planning","","12th","English/Hindi","Module 8: Urban Planning & Development Controls","Urban and Regional Planning-1","https://www.youtube.com/watch?v=SSlDkiUc5vs"
6784,"Urban Planning","Housing Policy & Planning","","12th","English/Hindi","Module 9: Housing Infrastructure & Services","Urban and Regional Planning-2","https://www.youtube.com/watch?v=RHblLAHNDwk"
6785,"Urban Planning","Housing Policy & Planning","","12th","English/Hindi","Module 9: Housing Infrastructure & Services","Development Controls","https://www.youtube.com/watch?v=ZrLUI4fL-xI"
