Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
7068,Urban Planning,Urban Economics 101,9hrs 3min,12th,English/Hindi,Module 1: Introduction to Urban Economics,The Demand for Cities,https://www.youtube.com/watch?v=IGk3MIgTx4Y
7069,Urban Planning,Urban Economics 101,,12th,English/Hindi,Module 1: The Demand for Cities,The Supply of Urban Space,https://www.youtube.com/watch?v=OOB4fp-IEHQ
7070,Urban Planning,Urban Economics 101,,12th,English/Hindi,Module 1: The Supply of Urban Space,The Congruence of Supply and Demand,https://www.youtube.com/watch?v=TEBCDZEageg
7071,Urban Planning,Urban Economics 101,,12th,English/Hindi,Module 1: The Congruence of Supply and Demand,Unpacking the Demand for Housing,https://www.youtube.com/watch?v=giDBrKFWW18
7072,Urban Planning,Urban Economics 101,,12th,English/Hindi,Module 2: Housing and Agglomeration,Agglomeration Economies & Supply and Demand,https://www.youtube.com/watch?v=OW7giFX0VyE
7073,Urban Planning,Urban Economics 101,,12th,English/Hindi,Module 2: Unpacking the Demand for Housing,Congestion Externalities and City Size,https://www.youtube.com/watch?v=umdo7fDfC5Y
7074,Urban Planning,Urban Economics 101,,12th,English/Hindi,Module 2: Agglomeration Economies & Supply and Demand,Agglomeration Economies and Urban Instability,https://www.youtube.com/watch?v=df-mLpKSvc8
7075,Urban Planning,Urban Economics 101,,12th,English/Hindi,Module 2: Dynamics and Durable Housing,The Welfare Consequences of City Bigness,https://www.youtube.com/watch?v=1Q3QY_C_lx0
7076,Urban Planning,Urban Economics 101,,12th,English/Hindi,Module 3: City Size and Externalities,Dynamics and Durable Housing,https://www.youtube.com/watch?v=eVm3o-GOWWA
7077,Urban Planning,Urban Economics 101,,12th,English/Hindi,Module 3: Congestion Externalities and City Size,The Spatial Equilibrium Concept,https://www.youtube.com/watch?v=_Gjyi54frIc
7078,Urban Planning,Urban Economics 101,,12th,English/Hindi,Module 3: Agglomeration Economies and Urban Instability,Urbanization and Openness,https://www.youtube.com/watch?v=03jb95BkcZI
7079,Urban Planning,Urban Economics 101,,12th,English/Hindi,Module 3: The Welfare Consequences of City Bigness,The Within-City Equilibrium Model,https://www.youtube.com/watch?v=QrwgRehzh-I
7080,Urban Planning,Urban Economics 101,,12th,English/Hindi,Module 4: Urban Models and Applications,Density Within the City,https://www.youtube.com/watch?v=l707k8Gj_Wo
7081,Urban Planning,Urban Economics 101,,12th,English/Hindi,Module 4: The Spatial Equilibrium Concept,Race and Tipping Models,https://www.youtube.com/watch?v=4c9JQbySRxg
7082,Urban Planning,Urban Economics 101,,12th,English/Hindi,Module 4: Urbanization and Openness,The Imperial City Model,https://www.youtube.com/watch?v=oV71YXVBFxo
7083,Urban Planning,Urban Economics 101,,12th,English/Hindi,Module 4: The Within-City Equilibrium Model,The Economics of Crime and Riots,https://www.youtube.com/watch?v=6BT2HdFzqog
